"hospital_name","district","nearest_sh","distance_meters"
"Binnani Hospital and IVF Centre","Bikaner","BIKANER   CHHATARGARH","4936.09"
"Bishnoi Hospital","Bikaner","BIKANER   CHHATARGARH","4370.00"
"Chalana Hospital and Research Centre","Bikaner","Bikaner ladnu via napasar","2482.65"
"Choudhary Eye Hospital and Opticals","Bikaner","SARDARSHAHAR SATTASAR","82.26"
"City Hospital","Bikaner","SARDARSHAHAR SATTASAR","732.30"
"Dhanvantari Hospital","Bikaner","SARDARSHAHAR SATTASAR","165.39"
"District Hospital, Bikaner","Bikaner","BIKANER   CHHATARGARH","1058.19"
"Dr Ashok Sharma's Clinic","Bikaner","BIKANER   CHHATARGARH","4109.15"
"Dr. Ashok Singhl","Bikaner","BIKANER   CHHATARGARH","4090.94"
"Dr. Deep Chand","Bikaner","Bikaner ladnu via napasar","3130.86"
"Dr. Ghanshyam Panwar","Bikaner","BIKANER   CHHATARGARH","2445.57"
"Dr. Lokesh Sarswat","Bikaner","NOKHA JASRASAR","726.36"
"Dr. M.G. Periwal Clinic","Bikaner","NOKHA JASRASAR","197.67"
"Dr. M.Y. Joiya Kolayat","Bikaner","RANJEETPURA  OSIAN VIA KOLYAT MOKHA NOKHA KAKKU","13.87"
"Dr. Manak Gujrani Clinic","Bikaner","BIKANER   CHHATARGARH","4036.91"
"Dr. Manoj Meena","Bikaner","BIKANER   CHHATARGARH","4899.80"
"Dr. Meenakshi Gomber","Bikaner","BIKANER   CHHATARGARH","504.39"
"Dr. Mohammad Salim Clinic","Bikaner","BIKANER   CHHATARGARH","4253.52"
"Dr. Mohit Bansal's Clinic","Bikaner","BIKANER   CHHATARGARH","3287.08"
"Dr. Ramesh Poonia","Bikaner","RANJEETPURA  OSIAN VIA KOLYAT MOKHA NOKHA KAKKU","40.94"
"Dr. Santosh Chandak Child Clinic","Bikaner","BIKANER   CHHATARGARH","4137.72"
"Dr. Shyam Agrawal Child Care Hospital","Bikaner","BIKANER   CHHATARGARH","517.64"
"Dr. Shyam Bajaj","Bikaner","NOKHA JASRASAR","37.77"
"Dr. Sitaram","Bikaner","BIDASAR  KALU VIA DUNGARGARH","791.51"
"Dr. Vedprakash","Bikaner","Bikaner ladnu via napasar","351.78"
"Dr. Vijay Tundwal Hospital","Bikaner","Bikaner ladnu via napasar","158.62"
"Dr.Tanveer Malawat Hospital and Research Centre","Bikaner","BIKANER   CHHATARGARH","3033.89"
"ESI Hospital","Bikaner","BIKANER   CHHATARGARH","579.61"
"Floral Hospital","Bikaner","BIKANER   CHHATARGARH","3688.85"
"GESI Clinic","Bikaner","BIKANER   CHHATARGARH","3158.49"
"Get Well Nursing Home, Bikaner","Bikaner","Bikaner ladnu via napasar","3580.96"
"Global Hospital and Research Centre","Bikaner","BIKANER   CHHATARGARH","4002.42"
"Goodwill Eye & General Hospital","Bikaner","BIKANER   CHHATARGARH","4503.91"
"Government Eye Hospital","Bikaner","BIKANER  DELHI","328.92"
"Government Hospital, Godu","Bikaner","RANJEETPURA  OSIAN VIA KOLYAT MOKHA NOKHA KAKKU","122.21"
"Government Hospital, Jangloo","Bikaner","RANJEETPURA  OSIAN","789.20"
"Government Hospital, Koodsoo","Bikaner","RANJEETPURA  OSIAN","47.56"
"Government T.B. Hospital","Bikaner","BIKANER   CHHATARGARH","3806.64"
"Governmet Hospital Sri Dungargarh","Bikaner","BIDASAR  KALU VIA DUNGARGARH","680.92"
"Guru Kripa Homoeo Clinic","Bikaner","BIKANER   CHHATARGARH","2308.47"
"Haldi Ram Moolchand Hospital","Bikaner","BIKANER   CHHATARGARH","3910.38"
"Harsh Clinic","Bikaner","BIKANER   CHHATARGARH","735.92"
"J.D.Bagree Institute Of Surgical Sciences","Bikaner","Bikaner ladnu via napasar","4425.27"
"Jai Kachhawa Clinic","Bikaner","BIKANER   CHHATARGARH","1977.82"
"Janta Clinic","Bikaner","BIKANER   CHHATARGARH","3273.84"
"Joshi Hospital","Bikaner","BIDASAR  KALU VIA DUNGARGARH","361.47"
"Kalra Health Care Pvt Ltd","Bikaner","BIKANER   CHHATARGARH","4857.80"
"Kalu Government Hospital","Bikaner","SARDARSHAHAR SATTASAR","936.13"
"Kaswan Hospital","Bikaner","BIKANER   CHHATARGARH","3683.63"
"Kaushik Clinic","Bikaner","BIDASAR  KALU VIA DUNGARGARH","722.18"
"Laxmi Hospital","Bikaner","NOKHA JASRASAR","334.78"
"LN Hospital","Bikaner","BIKANER   CHHATARGARH","4357.86"
"Marothi Clinic","Bikaner","NOKHA JASRASAR","125.16"
"Marwar Hospital","Bikaner","BIKANER   CHHATARGARH","3061.95"
"Mathur Hospital & Research Centre","Bikaner","BIKANER   CHHATARGARH","2839.78"
"Mind Care Clinic","Bikaner","BIKANER   CHHATARGARH","3276.20"
"MN Hospital and Research Centre","Bikaner","BIKANER   CHHATARGARH","3143.41"
"N.W. Railway Divisional Hospital","Bikaner","BIKANER   CHHATARGARH","1455.34"
"Narul Clinic","Bikaner","SARDARSHAHAR SATTASAR","21.68"
"Navjeevan Hospital & Research Centre","Bikaner","BIKANER   CHHATARGARH","575.76"
"New Apollo Hospital and Multi Speciality Centre","Bikaner","BIKANER   CHHATARGARH","3147.48"
"Nipun Hospital","Bikaner","RANJEETPURA  OSIAN VIA KOLYAT MOKHA NOKHA KAKKU","29.97"
"P.M.C.T. Hospital","Bikaner","NOKHA JASRASAR","191.00"
"Pratap Prasuti Grih","Bikaner","BIKANER   CHHATARGARH","2735.95"
"Purohit Medicose","Bikaner","NOKHA JASRASAR","169.38"
"R K Orthopaedic and Trauma Centre","Bikaner","Bikaner ladnu via napasar","4060.26"
"Rajasthan Naturopathy Hospital","Bikaner","BIKANER   CHHATARGARH","3738.77"
"Rajasthan Nursing Home","Bikaner","BIKANER   CHHATARGARH","2922.14"
"Rajni Hospital","Bikaner","BIKANER   CHHATARGARH","470.11"
"Rawat ENT Hospital","Bikaner","BIKANER   CHHATARGARH","4076.06"
"Rawat Hospital","Bikaner","BIKANER   CHHATARGARH","4156.31"
"Sanjeevani Hospital","Bikaner","BIKANER   CHHATARGARH","898.61"
"Shanti Memorial Hospital","Bikaner","BIKANER   CHHATARGARH","4064.18"
"Shri Krishna NeuroSpine and Multispeciality Hospital","Bikaner","Bikaner ladnu via napasar","3517.48"
"Shri Ram Hospital","Bikaner","BIKANER   CHHATARGARH","3250.22"
"Shubham Nursing Home","Bikaner","BIKANER   CHHATARGARH","679.88"
"Somani Nursing Home","Bikaner","NOKHA JASRASAR","540.84"
"Soni Hospital","Bikaner","NOKHA JASRASAR","294.41"
"Sub Health Centre & Hospital, Toliyasar","Bikaner","Salasar Ratangarh Sardarshahar Road","2851.25"
"Sugni Devi Jaisraj Baid Hospital and Research Centre","Bikaner","BIKANER   CHHATARGARH","2487.34"
"Surana Nursing Home","Bikaner","NOKHA JASRASAR","202.87"
"Swami Homeo Clinic","Bikaner","BIKANER   CHHATARGARH","2323.88"
"Swasthya Seva Clinic","Bikaner","BIKANER   CHHATARGARH","712.12"
"Taparia Nursing Home","Bikaner","NOKHA JASRASAR","125.02"
"Tulsi Dharnia Memorial Cancer Hospital","Bikaner","BIKANER   CHHATARGARH","4064.47"
"Tulsi Medical and Research Centre","Bikaner","BIDASAR  KALU VIA DUNGARGARH","772.44"
"Vardaan Hospital","Bikaner","Bikaner ladnu via napasar","3822.75"
"Vyas Eye Care Center","Bikaner","BIKANER   CHHATARGARH","4090.65"
"ACC Hospital","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","99.90"
"Agrawal Eye And Skin Hospital","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","252.47"
"Akash Clinic","Bundi","Tonk-Nagar-Nainwa-Khatkar-K.Patan Road","763.16"
"Amar Clinic","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","3344.10"
"Ayurvedic Hospital","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","3500.96"
"Bundi Hospital and Research Centre","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","37.91"
"Classical Homoeopathy Clinic","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","320.70"
"Deep Clinic","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","28.77"
"Dr. Anil Johri Clinic","Bundi","Bhensroadgarh to Laban Via Kota-K.Patan-Kapren Road","2592.76"
"Dr. Avinash Sharma","Bundi","Tonk-Nagar-Nainwa-Khatkar-K.Patan Road","24.73"
"Dr. B S Meena Clinic","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","70.30"
"Dr. Govind Gupta","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","710.40"
"Dr. K L Meena","Bundi","Bhensroadgarh to Laban Via Kota-K.Patan-Kapren Road","1532.82"
"Dr. K.C. Gagrani","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","367.46"
"Dr. Lokesh Eye Clinic","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","22.97"
"Dr. M.S. Hanifi","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","244.90"
"Dr. Mahesh Hospital","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","507.53"
"Dr. Manoj Jain Hospital","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","21.13"
"Dr. Monika Soni","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","79.96"
"Dr. Rajdeep Somgh Homeopathy Clinic","Bundi","Tonk-Nagar-Nainwa-Khatkar-K.Patan Road","346.55"
"Dr. Vyas Nursing Home and Research Centre Pvt Ltd","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","172.57"
"Government Hospital","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","247.50"
"Government Hospital Raithal","Bundi","Tonk-Nagar-Nainwa-Khatkar-K.Patan Road","4417.87"
"Government Hospital Talwas","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","4782.27"
"Government Hospital, Indergarh","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","731.32"
"Government Hospital, Keshoraipatan","Bundi","Bhensroadgarh to Laban Via Kota-K.Patan-Kapren Road","2821.61"
"InaayaClinic","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","311.44"
"Kapren Government Hospital","Bundi","Dudu - Malpura - Tonk - Nainwa- Khatkar- Kapren- Mandawara.","187.03"
"Life Care Clinic","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","325.08"
"Mahatama Gandhi Children Hospital","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","554.99"
"Maheshwari Children Hospital and Research Centre","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","15.25"
"Maternal and Child Hospital","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","359.05"
"Mateshwari Hospital","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","38.34"
"Maya Hospital","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","662.56"
"Mukesh Khatana Clinic","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","271.69"
"New Bharat Clinic","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","262.66"
"Nimach Eye Hospital","Bundi","Bundi- silor-Gararda- Bhopatpura","1798.47"
"Om Clinic","Bundi","Bhensroadgarh to Laban Via Kota-K.Patan-Kapren Road","2521.20"
"Pandit Brijsunder Sharma General Hospital, Bundi","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","192.02"
"Raghuvar Fracture and General Hospital","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","34.52"
"Rudransh Physiotherapy Clinic","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","510.07"
"Shri Krishna Clinic","Bundi","Bhensroadgarh to Laban Via Kota-K.Patan-Kapren Road","17.39"
"Taifaid Clinic","Bundi","Uniyara-Bijoliya Via Indergarh-Lakheri-Bundi Road","1167.62"
"District Hospital Chittorgarh","Chittaurgarh","Udiapur Kapasan Chittorgarh","684.10"
"Government Hospital Bijapur","Chittaurgarh","Bilara Sojat Siriyari Desuri Sadri Sewari Pindwara Road","32.61"
"Government Hospital Rashmi","Chittaurgarh","Kapasan Rashmi karoi","934.91"
"Government Hospital, Bhaisroardgarh","Chittaurgarh","Katunda Barodiya Chechut Srichhataqpura","127.44"
"Government Yog & Naturopathy Hospital With Research Centre","Chittaurgarh","Udiapur Kapasan Chittorgarh","104.27"
"Akshar Orthopaedic Chikitsaalay","Chittorgarh","Udiapur Kapasan Chittorgarh","504.72"
"Alakh Nayan Eye Centre","Chittorgarh","Udiapur Kapasan Chittorgarh","222.85"
"Aruna Hospital","Chittorgarh","Udiapur Kapasan Chittorgarh","180.91"
"Asawara Clinic","Chittorgarh","Dabok Mangalwad Barisadri Neemuch Road","22.99"
"Basanti Clinic","Chittorgarh","Dabok Mangalwad Barisadri Neemuch Road","12.57"
"Bombay Clinic","Chittorgarh","Udiapur Kapasan Chittorgarh","2943.94"
"Dhanvantary Nursing Care","Chittorgarh","Dabok Kapasan Chittor road","372.67"
"Dr. Anish Jain","Chittorgarh","Udiapur Kapasan Chittorgarh","324.15"
"Dr. Bakshi Hospital","Chittorgarh","Udiapur Kapasan Chittorgarh","439.53"
"Dr. GL Bhatnagar Clinic","Chittorgarh","Dabok Kapasan Chittorgarh Road","353.17"
"Dr. Khabya Heart Care and General Hospital","Chittorgarh","Udiapur Kapasan Chittorgarh","141.37"
"Dr. Khabya Heart Care Hospital","Chittorgarh","Udiapur Kapasan Chittorgarh","188.71"
"Dr. Krishna Mehta Maternity and Nursing Home","Chittorgarh","Udiapur Kapasan Chittorgarh","129.60"
"Dr. Mahendra Balot","Chittorgarh","Udiapur Kapasan Chittorgarh","158.58"
"Dr. Pratibha Sanadya Clinic","Chittorgarh","Udiapur Kapasan Chittorgarh","375.97"
"Gandhi Heart Clinic","Chittorgarh","Udiapur Kapasan Chittorgarh","122.37"
"Goyal Hospital","Chittorgarh","Dabok Kapasan Chittor road","807.03"
"Janani Hospital","Chittorgarh","Udiapur Kapasan Chittorgarh","203.41"
"Kanthed Pediatrician","Chittorgarh","Udiapur Kapasan Chittorgarh","514.24"
"Maa Gayatri Hospital","Chittorgarh","Udiapur Kapasan Chittorgarh","408.18"
"Maa Jatala Clinic","Chittorgarh","Udiapur Kapasan Chittorgarh","161.53"
"Mahatma Jain Clinic","Chittorgarh","Dabok Mangalwad Barisadri Neemuch Road","17.63"
"Mali Ram Memorial Hospital","Chittorgarh","Bhardoti to Bassi via Junction NH-11B Toonga Km91/475 to95/0","374.49"
"Manish Nursing Home, Chittorgarh","Chittorgarh","Udiapur Kapasan Chittorgarh","286.39"
"Mewar Orthopaedic Hospital","Chittorgarh","Udiapur Kapasan Chittorgarh","195.56"
"Nagori Hospital","Chittorgarh","Dabok Mangalwad Barisadri Neemuch Road","380.35"
"Naytra Jyoti Eye Hospital","Chittorgarh","Udiapur Kapasan Chittorgarh","164.47"
"Om Multispeciality Hospital","Chittorgarh","Katunda Barodiya Chechut Srichhatapura","2770.56"
"Panchmukhi Hanuman Chikitsa Avm Anusandhan Sanstha","Chittorgarh","Udiapur Kapasan Chittorgarh","107.52"
"Pearl Hospital and Research Centre","Chittorgarh","Udiapur Kapasan Chittorgarh","806.72"
"Radha Krishna Hospital","Chittorgarh","Udiapur Kapasan Chittorgarh","179.45"
"Radha Swami Clinic","Chittorgarh","Udiapur Kapasan Chittorgarh","379.18"
"Rajasthan Hospital","Chittorgarh","Udiapur Kapasan Chittorgarh","522.77"
"Sanjeevani Hospital, Chittorgarh","Chittorgarh","Udiapur Kapasan Chittorgarh","154.12"
"Sanjivani Clinic","Chittorgarh","Udiapur Kapasan Chittorgarh","3074.63"
"Sharma Nursing Home, Chittorgarh","Chittorgarh","Udaipur Bhatewar Bansi Dhariyawad","4939.48"
"Shree Homoeo Clinic and Research Centre","Chittorgarh","Udiapur Kapasan Chittorgarh","296.48"
"Shree Ram Eye Care and Opticals","Chittorgarh","Udiapur Kapasan Chittorgarh","523.86"
"Shree Sanwaliaji Government General Hospital","Chittorgarh","Udiapur Kapasan Chittorgarh","479.50"
"Smile Dental Care","Chittorgarh","Udiapur Kapasan Chittorgarh","235.81"
"SPS Hospital","Chittorgarh","Dabok Kapasan Chittor road","75.89"
"Tiwari Hospital","Chittorgarh","Dabok Mangalwad Barisadri Neemuch Road","20.68"
"Vaishnav Health Care Clinic","Chittorgarh","Udaipur Bhatewar Bansi Dhariyawad","491.31"
"Zinc Hospital","Chittorgarh","Udiapur Kapasan Chittorgarh","323.03"
"Ambika Ayurvedic Clinic","Churu","Ratangarh to Sardarshahar Road via Churu","14.93"
"Ayurvedic Clinic","Churu","Ratangarh to Sardarshahar Road via Churu","11.93"
"Bajaj Clinic","Churu","Sikar Nokha Road","2035.47"
"Bajaj Eye Hospital","Churu","Churu Taranagar Road","459.80"
"Balaji Hospital","Churu","Churu Taranagar Road","886.76"
"Bhadaniyan Hospital","Churu","Dungargarh Sardarshahar Taranagar Rajgarh","560.80"
"Bharat Hospital","Churu","Sikar Nokha Road","605.57"
"Bharat Multispeciality Hospital","Churu","Kishangarh Sardarshahar Hanumangarh","611.30"
"Bhartiya Hospital Churu","Churu","Churu Taranagar Road","148.44"
"Care Rathi Hospital","Churu","Sikar Nokha Road","771.40"
"Choudhary Hospital","Churu","Churu Taranagar Road","17.01"
"Churu Hospital","Churu","Churu Taranagar Road","979.43"
"Churu MultiSpeciality Hospital and Research Centre","Churu","Churu Taranagar Road","861.24"
"Dr. Anil Chawla","Churu","Churu Taranagar Road","1434.06"
"Dr. Arun Verma","Churu","Churu Taranagar Road","675.38"
"Dr. C.L. Gahlot","Churu","Churu Taranagar Road","1336.83"
"Dr. Chanderbhan - Paediatrician","Churu","Dungargarh Sardarshahar Taranagar Rajgarh","1627.81"
"Dr. Goyal","Churu","Salasar Ratangarh Sardarshahar Road","749.06"
"Dr. Jangid Hospital","Churu","Sikar Nokha Road","623.05"
"Dr. Kapil Verma","Churu","Churu Taranagar Road","1301.34"
"Dr. M.L. Sharma Hospital","Churu","Churu Taranagar Nohar Hanumangarh","1276.30"
"Dr. M.L. Shyamsukha","Churu","Churu Taranagar Road","769.38"
"Dr. Nirmal Pareek","Churu","Dungargarh Sardarshahar Taranagar Rajgarh","123.59"
"Dr. O.P. Gupta Memorial Hospital","Churu","Churu Taranagar Nohar Hanumangarh","1219.55"
"Dr. Rajendra Sharma","Churu","Sikar Nokha Road","1366.13"
"Dr. Ravi Agarwal","Churu","Churu Taranagar Road","1288.99"
"Dr. Sasi Kumar Clinic","Churu","Churu Taranagar Road","308.35"
"Dr. Urmil Jain Hospital Pvt Ltd.","Churu","Rajgarh to Bahal","870.40"
"Dr. V P Purohit","Churu","Salasar Ratangarh Sardarshahar Road","292.75"
"Dr. Yogesh Kumar Clinic","Churu","Ratangarh to Sardarshahar Road via Churu","186.86"
"Durga Homoeo Clinic","Churu","Dungargarh Sardarshahar Taranagar Rajgarh","970.58"
"Gangaram Hospital","Churu","Salasar Ratangarh Sardarshahar Road","239.91"
"Geeta Homeo Clinic","Churu","Dungargarh Sardarshahar Taranagar Rajgarh","1088.02"
"Goswami Medicare and Diagnostic Centre","Churu","Ratangarh to Sardarshahar Road via Churu","144.99"
"Government Hospital Salasar","Churu","Sikar Nokha Road","72.60"
"Government Hospital Sujangarh","Churu","Sikar Nokha Road","1258.12"
"Government Hospital Taranagar","Churu","Churu Taranagar Nohar Hanumangarh","574.20"
"Government Hospital, Binasar","Churu","Ratangarh to Sardarshahar Road via Churu","214.41"
"Government Hospital, Gogasar","Churu","Salasar Ratangarh Sardarshahar Road","414.35"
"Government Hospital, Gopalpura","Churu","Sujangarh -Gopalpura to Bidasar ending at SH-20 Junction","43.19"
"Government Hospital, Ramdevra","Churu","Ratangarh to Sardarshahar Road via Churu","1167.56"
"Government Hospital, Sardar Shahar","Churu","Dungargarh Sardarshahar Taranagar Rajgarh","715.62"
"Governmet Hospital Shobhasar","Churu","Ratangarh To Salasar","58.89"
"Governmet Hospital Somasi","Churu","Churu Bhaleri Road","47.68"
"Govt Hospital,Kusumdesar","Churu","Salasar Ratangarh Sardarshahar Road","36.84"
"Govt. Hospital, Ratangarh","Churu","Salasar Ratangarh Sardarshahar Road","83.65"
"Goyal Hospital","Churu","Churu Taranagar Road","1158.36"
"H.N.Hospital","Churu","Churu Taranagar Road","608.55"
"Heart Care & General Hospital","Churu","Churu Taranagar Road","820.95"
"Jaipur Nursing Home","Churu","Dungargarh Sardarshahar Taranagar Rajgarh","844.41"
"JMB Eye Hospital","Churu","Churu Taranagar Road","43.86"
"Kochar Clinic","Churu","Ratangarh to Sardarshahar Road via Churu","32.90"
"Kulthia Clinic","Churu","Salasar Ratangarh Sardarshahar Road","265.07"
"Marwari Sahayak Samiti Hospital","Churu","Ratangarh to Sardarshahar Road via Churu","11.59"
"Mittal Eye Hospital","Churu","Dungargarh Sardarshahar Taranagar Rajgarh","1637.44"
"MRM Choudhary Hospital and Research Center","Churu","Churu Taranagar Road","25.01"
"Mumtaj Hospital","Churu","Churu Taranagar Road","457.60"
"Narayani Eye Hospital","Churu","Dungargarh Sardarshahar Taranagar Rajgarh","1619.90"
"Navjivan Hospital","Churu","Dungargarh Sardarshahar Taranagar Rajgarh","348.11"
"Rahat Clinic","Churu","Dungargarh Sardarshahar Taranagar Rajgarh","1564.75"
"Ratangarh Physiotherapy Clinic","Churu","Salasar Ratangarh Sardarshahar Road","535.99"
"Ravindra Hospital","Churu","Churu Taranagar Road","27.45"
"Rohilla Nursing Home","Churu","Fethepur Jhunujhunu Malsisar Sankhoo Rajgarh","861.32"
"Sanjeewani Hospital","Churu","Churu Bhaleri Road","24.22"
"Sanjivni Hospital","Churu","Churu Taranagar Nohar Hanumangarh","486.70"
"Satyam Hospital & Sonography Centre","Churu","Dungargarh Sardarshahar Taranagar Rajgarh","1309.33"
"Saxena Hospital, Sujangarh","Churu","Sikar Nokha Road","1256.00"
"Sheela Hospital","Churu","Churu Taranagar Road","1159.88"
"Shivam Hospital","Churu","Churu Taranagar Road","42.33"
"Shree Ram Nursing Home Hospital","Churu","Churu Taranagar Nohar Hanumangarh","900.60"
"Smart Look Hair Weaving Point Sardarshahr","Churu","Dungargarh Sardarshahar Taranagar Rajgarh","775.96"
"Smt Sheela Goyal Memorial Heart and General Hospital","Churu","Churu Taranagar Road","1657.36"
"Somra ENT Hospital","Churu","Churu Taranagar Road","442.60"
"Soni Health Care Centre","Churu","Dungargarh Sardarshahar Taranagar Rajgarh","156.37"
"Soni Nursing Home, Churu","Churu","Churu Taranagar Road","446.57"
"Sub Tb Clinic, Db Hospital, Churu","Churu","Churu Taranagar Road","36.88"
"Vinayak Dental Clinic & Opticals","Churu","Salasar Ratangarh Sardarshahar Road","243.58"
"Anand Hospital","Dausa","Bhadoti Bassi via Junction of NH-11B Lalsot Didwana Toonga","1806.47"
"Ayurved & Panchakarm Chikitsa Kendra","Dausa","Salempur to Mahuwa via Kherla Gazipur","266.92"
"Bal Gopal Child Hospital","Dausa","Dharuheda to Gangapur via Bhiwadi alwar sikandra","1737.45"
"City Hospital and Trauma Centre","Dausa","Salempur to Mahuwa via Kherla Gazipur","856.97"
"Cowshed Mahwa","Dausa","Salempur to Mahuwa via Kherla Gazipur","827.75"
"Deepesh Clinic","Dausa","Salempur to Mahuwa via Kherla Gazipur","1307.08"
"Dr. B S Saini","Dausa","Mahuwa to Govindgarh via Garhi Sawairam Lxmangarh Road","2496.89"
"Dr. J.P. Verma","Dausa","Dharuheda to Gangapur via Bhiwadi alwar sikandra","2659.66"
"Dr. K S Sharma","Dausa","Salempur to Mahuwa via Kherla Gazipur","3116.00"
"Dr. Kajodmal Meena Hospital","Dausa","Bhadoti Bassi via Junction of NH-11B Lalsot Didwana Toonga","1920.48"
"Dr. Murari Lal meena","Dausa","Mahuwa to Govindgarh via Garhi Sawairam Lxmangarh Road","2205.91"
"Dr. Pramod Jain","Dausa","Bhadoti Bassi via Junction of NH-11B Lalsot Didwana Toonga","1644.00"
"Dr. Pritam Meena","Dausa","Mahuwa to Govindgarh via Garhi Sawairam Lxmangarh Road","2300.70"
"Dr. Roshan Mahal","Dausa","Dharuheda to Gangapur via Bhiwadi alwar sikandra","1633.95"
"Dr. Suneet Upadhyaya","Dausa","Bhadoti Bassi via Junction of NH-11B Lalsot Didwana Toonga","1795.87"
"Eye Vision Centre","Dausa","Dharuheda to Gangapur via Bhiwadi alwar sikandra","2170.74"
"Geeta Devi Eye Hospital","Dausa","Bhadoti Bassi via Junction of NH-11B Lalsot Didwana Toonga","168.15"
"Government Hospital Sainthal","Dausa","Dausa Sariska Alwar Road","861.93"
"Government Hospital Santha","Dausa","Salempur to Mahuwa via Kherla Gazipur","3317.89"
"Government Hospital, Baragaon","Dausa","Salempur to Mahuwa via Kherla Gazipur","41.11"
"Government Hospital, Baswa","Dausa","Dharuheda to Gangapur via Bhiwadi alwar sikandra","904.71"
"Government Hospital, Pratappura","Dausa","Dharuheda to Gangapur via Bhiwadi alwar sikandra","2856.85"
"Governmet Hospital Sikandra","Dausa","GANGAPUR NANDOTI SIKENDRA RAJGARH TEHLA","195.66"
"Goyal Hospital","Dausa","Salempur to Mahuwa via Kherla Gazipur","1532.17"
"Jaghitam Hospital","Dausa","Dharuheda to Gangapur via Bhiwadi alwar sikandra","1470.61"
"Jagmohan Hospital","Dausa","Salempur to Mahuwa via Kherla Gazipur","1541.34"
"Jain Child and General Hospital","Dausa","Salempur to Mahuwa via Kherla Gazipur","1115.55"
"Jaipur Nursing Home & Eye Hospital","Dausa","Salempur to Mahuwa via Kherla Gazipur","526.27"
"Janata Dawakhana","Dausa","Mahuwa to Govindgarh via Garhi Sawairam Lxmangarh Road","2249.80"
"Janki Devi Madan Nursing Home","Dausa","Dharuheda to Gangapur via Bhiwadi alwar sikandra","2258.33"
"Katta Hospital","Dausa","Dharuheda to Gangapur via Bhiwadi alwar sikandra","2612.11"
"Madhur Hospital, Dausa","Dausa","Dharuheda to Gangapur via Bhiwadi alwar sikandra","1985.35"
"Malhotra Hospital","Dausa","GANGAPUR NANDOTI SIKENDRA RAJGARH TEHLA","27.91"
"Mama Clinic","Dausa","GANGAPUR NANDOTI SIKENDRA RAJGARH TEHLA","21.05"
"Navjeevan Hospital, Dausa","Dausa","Bhadoti Bassi via Junction of NH-11B Lalsot Didwana Toonga","993.30"
"Paras Hospital","Dausa","Dharuheda to Gangapur via Bhiwadi alwar sikandra","2047.78"
"Ram Nursing Home and Fracture Hospital","Dausa","Salempur to Mahuwa via Kherla Gazipur","1314.65"
"Rohit Hospital Pvt Ltd","Dausa","Mahuwa to Govindgarh via Garhi Sawairam Lxmangarh Road","2181.19"
"Saini Clinic","Dausa","Dharuheda to Gangapur via Bhiwadi alwar sikandra","2455.37"
"Saket Clinic","Dausa","Dharuheda to Gangapur via Bhiwadi alwar sikandra","2291.33"
"Sharma Clinic","Dausa","Dharuheda to Gangapur via Bhiwadi alwar sikandra","2285.52"
"Shri Krishna Hospital, Dausa","Dausa","Dausa Lawan Road","3866.53"
"Shri Surya Hospital","Dausa","Bhadoti Bassi via Junction of NH-11B Lalsot Didwana Toonga","1692.64"
"Shyam Lal Clinic","Dausa","Salempur to Mahuwa via Kherla Gazipur","1798.72"
